slang,formal
tq,terima kasih
thx,terima kasih
tkx, terima kasih
thk, terima kasih
makash,terima kasih
tks,terima kasih
tls,terima kasih
thanks,terima kasih
thankks,terima kasih
thnq,terima kasih
thankss,terima kasih
thankz,terima kasih
thank,terima kasih
mkasih,terima kasih
thankyou,terima kasih
trma,terima
trm,terima
ditrima,diterima
bas,bass
ekstimasi,estimasi
bhingit,banget
recommemded,recommended
smntra,sementara
msti,mesti
brang,barang
seken,second
mesan,pesan
pmesanan,pesanan
pngirimn,pengiriman
nyh,nya
ngm,ngomong
paking,kemas
bwat,buat
packing,kemas
packaging,kemas
chgr,charge
cas,charge
dicas,charge
carger,charge
koneck,connect
konek,connect
conek,connect
koneksi,connect
cacad,cacat
retur,return
pasahal,padahal
aga,agak
gue,saya
walopun,walau
produck,produk
ny,nya
sanpai,sampai
jujurr,jujur
berkaah,berkah
mntab,mantap
mantabz,mantap
mantab,mantap
mntb,mantap
mantabs,mantap
mntp,mantap
muantap,mantap
mancapp,mantap
cuman,cuma
kbel,kabel
kbl,kabel
pungsi,fungsi
nyampai,sampai
githu,gitu
kuakitas,kualitas
kwalitas,kualitas
n,dan
hendsetta,headset
gut,good
gud,good
eaa,ya
jg,juga
lake,pakai
btooth,bluetooth
bagys,bagus
capede,capek deh
telp,telepon
nlpn,telepon
telpon,telepon
nelpon,telepon
desk,deskripsi
ngeresponnyah,respon
macm,macam
ditrm,diterima
enggak,tidak




